PhotonEnergy[keV],1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
3.3759,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.89E+05,9.27E+03,1.16E+04,2.87E+04,3.31E+04,4.58E+04,1.83E+04,2.28E+04,2.59E+03,2.95E+03,6.72E+03,5.79E+03,7.93E+03,5.41E+02,5.18E+02,1.09E+03,4.50E+01,5.72E+01,6.21E+01
3.403,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.14E+05,2.83E+05,9.16E+03,1.15E+04,2.83E+04,3.25E+04,4.50E+04,1.78E+04,2.21E+04,2.56E+03,2.92E+03,6.62E+03,5.69E+03,7.78E+03,5.34E+02,5.11E+02,1.07E+03,4.42E+01,5.62E+01,6.12E+01
3.8997,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.46E+05,2.01E+05,7.46E+03,9.53E+03,2.22E+04,2.39E+04,3.27E+04,1.11E+04,1.37E+04,2.04E+03,2.36E+03,5.15E+03,4.18E+03,5.66E+03,4.23E+02,4.11E+02,8.32E+02,3.24E+01,4.09E+01,4.86E+01
3.9309,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.81E+04,1.43E+05,1.96E+05,7.36E+03,9.42E+03,2.19E+04,2.34E+04,3.20E+04,1.08E+04,1.33E+04,2.01E+03,2.33E+03,5.07E+03,4.10E+03,5.55E+03,4.17E+02,4.06E+02,8.20E+02,3.18E+01,4.01E+01,4.79E+01
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.71E+04,1.37E+05,1.87E+05,7.17E+03,9.18E+03,2.12E+04,2.25E+04,3.07E+04,1.01E+04,1.25E+04,1.96E+03,2.27E+03,4.91E+03,3.94E+03,5.33E+03,4.05E+02,3.94E+02,7.93E+02,3.06E+01,3.84E+01,4.65E+01
4.6511,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.04E+04,8.99E+04,1.21E+05,5.64E+03,7.32E+03,1.60E+04,1.56E+04,2.11E+04,5.88E+03,7.25E+03,1.51E+03,1.77E+03,3.67E+03,2.75E+03,3.67E+03,3.12E+02,3.07E+02,5.93E+02,2.13E+01,2.65E+01,3.59E+01
4.6883,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.22E+04,5.96E+04,8.79E+04,1.18E+05,5.57E+03,7.23E+03,1.58E+04,1.53E+04,2.07E+04,5.71E+03,7.04E+03,1.49E+03,1.75E+03,3.62E+03,2.69E+03,3.60E+03,3.07E+02,3.02E+02,5.83E+02,2.09E+01,2.60E+01,3.54E+01
4.975,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.09E+04,5.35E+04,7.40E+04,1.00E+05,5.06E+03,6.58E+03,1.41E+04,1.32E+04,1.78E+04,4.60E+03,5.65E+03,1.35E+03,1.58E+03,3.22E+03,2.33E+03,3.10E+03,2.77E+02,2.73E+02,5.19E+02,1.81E+01,2.24E+01,3.19E+01
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.41E+04,2.08E+04,5.30E+04,7.30E+04,9.87E+04,5.02E+03,6.53E+03,1.39E+04,1.31E+04,1.76E+04,4.51E+03,5.55E+03,1.34E+03,1.57E+03,3.19E+03,2.30E+03,3.06E+03,2.74E+02,2.71E+02,5.14E+02,1.78E+01,2.21E+01,3.16E+01
5.0148,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+04,2.07E+04,5.27E+04,7.24E+04,9.79E+04,4.99E+03,6.50E+03,1.38E+04,1.30E+04,1.74E+04,4.46E+03,5.49E+03,1.33E+03,1.56E+03,3.17E+03,2.28E+03,3.03E+03,2.73E+02,2.69E+02,5.11E+02,1.77E+01,2.19E+01,3.15E+01
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+04,1.66E+04,3.76E+04,4.33E+04,5.75E+04,3.70E+03,4.83E+03,9.70E+03,8.16E+03,1.08E+04,2.28E+03,2.79E+03,9.72E+02,1.14E+03,2.21E+03,1.44E+03,1.89E+03,1.98E+02,1.96E+02,3.55E+02,1.12E+01,1.37E+01,2.29E+01
