Atom    Auger Transition/Notation(Barkla)    Auger Transition/Notation(Orbital)      Auger Energies/Core State Energies
Ho      M2,N2,N3                             3p1/2 4p1/2 4p3/2                                                     0.83
Ho      M3,N1,O1                             3p3/2 4s1/2 5s1/2                                                     9.66
Ho      M3,N3,N4                             3p3/2 4p3/2 4d3/2                                                     9.63
Ho      M3,N3,N5                             3p3/2 4p3/2 4d5/2                                                     1.93
Ho      M5,O1,O1                             3d5/2 5s1/2 5s1/2                                                    10.22
Er      N6                                   4f 5/2                                                               10.94
Er      N7                                   4f 7/2                                                                9.76
Er      P1                                   6s 1/2                                                                5.48
Er      M3,N2,N4                             3p3/2 4p1/2 4d3/2                                                     5.21
Er      M4,N4,O2                             3d3/2 4d3/2 5p1/2                                                    17.35
Er      M4,N4,O3                             3d3/2 4d3/2 5p3/2                                                    11.5
Er      M4,N5,O2                             3d3/2 4d5/2 5p1/2                                                     9.05
Er      M4,N5,O3                             3d3/2 4d5/2 5p3/2                                                     3.2
Tm      N6                                   4f 5/2                                                               11.03
Tm      N7                                   4f 7/2                                                                9.74
Tm      P1                                   6s 1/2                                                                5.55
Tm      L1,L3,O1                             2s1/2 2p3/2 5s1/2                                                    17.65
Tm      M2,N1,N2                             3p1/2 4s1/2 4p1/2                                                    19.47
Tm      M5,N4,O2                             3d5/2 4d3/2 5p1/2                                                    10.15
Tm      M5,N4,O3                             3d5/2 4d3/2 5p3/2                                                     3.92
Tm      M5,N5,O2                             3d5/2 4d5/2 5p1/2                                                     1.2
Yb      N6                                   4f 5/2                                                               11.09
Yb      N7                                   4f 7/2                                                                9.67
Yb      P1                                   6s 1/2                                                                5.61
Yb      M3,N1,N4                             3p3/2 4s1/2 4d3/2                                                     4.38
Yb      M3,N3,N3                             3p3/2 4p3/2 4p3/2                                                     8.37
Lu      N6                                   4f 5/2                                                               18.96
Lu      N7                                   4f 7/2                                                               17.32
Lu      O4                                   5d 3/2                                                                4.45
Lu      O5                                   5d 5/2                                                                4.03
Lu      P1                                   6s 1/2                                                                6.33
Lu      L1,L3,N5                             2s1/2 2p3/2 4d5/2                                                    16.36
Lu      M2,N1,N1                             3p1/2 4s1/2 4s1/2                                                    19.14
Lu      M4,N3,O2                             3d3/2 4p3/2 5p1/2                                                    12.17
Lu      M4,N3,O3                             3d3/2 4p3/2 5p3/2                                                     4.4
Lu      M4,N5,N5                             3d3/2 4d5/2 4d5/2                                                    16.83
Hf      O4                                   5d 3/2                                                                5.75
Hf      O5                                   5d 5/2                                                                5.18
Hf      P1                                   6s 1/2                                                                6.86
Hf      M4,N2,N6                             3d3/2 4p1/2 4f5/2                                                     8.14
Hf      M4,N2,N7                             3d3/2 4p1/2 4f7/2                                                     6.16
Hf      M4,N2,O3                             3d3/2 4p1/2 5p3/2                                                    16.44
Hf      M5,N3,N6                             3d5/2 4p3/2 4f5/2                                                     3.19
Hf      M5,N3,N7                             3d5/2 4p3/2 4f7/2                                                     1.21
Hf      M5,N3,O3                             3d5/2 4p3/2 5p3/2                                                    11.48
Ta      O4                                   5d 3/2                                                                7.01
Ta      O5                                   5d 5/2                                                                6.3
Ta      P1                                   6s 1/2                                                                7.31
Ta      M3,N2,N2                             3p3/2 4p1/2 4p1/2                                                    19.52
Ta      M4,N2,O1                             3d3/2 4p1/2 5s1/2                                                     8.28
Ta      M5,N3,O1                             3d5/2 4p3/2 5s1/2                                                     2.47
Ta      M5,N4,N4                             3d5/2 4d3/2 4d3/2                                                    14.53
Ta      M5,N4,N5                             3d5/2 4d3/2 4d5/2                                                     2.29
