Atom    Auger Transition/Notation      Auger Energies/Core State Energies
Ti      L2,M2,N1                                                   416.89
Ti      L2,M3,M3                                                   377.01
Ti      L2,M3,M4                                                   415.12
Ti      L2,M3,M5                                                   415.18
Ti      L2,M3,N1                                                   417.66
Ti      L2,M4,M4                                                   453.22
Ti      L2,M4,M5                                                   453.29
Ti      L2,M4,N1                                                   455.77
Ti      L2,M5,M5                                                   453.35
Ti      L2,M5,N1                                                   455.83
Ti      L2,N1,N1                                                   458.31
Ti      L3,M1,M1                                                   320.21
Ti      L3,M1,M2                                                   344.85
Ti      L3,M1,M3                                                   345.62
Ti      L3,M1,M4                                                   383.73
Ti      L3,M1,M5                                                   383.79
Ti      L3,M1,N1                                                   386.27
Ti      L3,M2,M2                                                   369.49
Ti      L3,M2,M3                                                   370.26
Ti      L3,M2,M4                                                   408.37
Ti      L3,M2,M5                                                   408.43
Ti      L3,M2,N1                                                   410.91
Ti      L3,M3,M3                                                   371.03
Ti      L3,M3,M4                                                   409.13
Ti      L3,M3,M5                                                   409.2
Ti      L3,M3,N1                                                   411.68
Ti      L3,M4,M4                                                   447.24
Ti      L3,M4,M5                                                   447.31
Ti      L3,M4,N1                                                   449.79
Ti      L3,M5,M5                                                   447.37
Ti      L3,M5,N1                                                   449.85
Ti      L3,N1,N1                                                   452.33
Ti      M1,M2,M4                                                    11.73
Ti      M1,M2,M5                                                    11.8
Ti      M1,M2,N1                                                    14.28
Ti      M1,M3,M4                                                    12.5
Ti      M1,M3,M5                                                    12.57
Ti      M1,M3,N1                                                    15.05
Ti      M1,M4,M4                                                    50.61
Ti      M1,M4,M5                                                    50.67
Ti      M1,M4,N1                                                    53.16
Ti      M1,M5,M5                                                    50.74
Ti      M1,M5,N1                                                    53.22
Ti      M1,N1,N1                                                    55.7
Ti      M2,M4,M4                                                    27.1
Ti      M2,M4,M5                                                    27.17
Ti      M2,M4,N1                                                    29.65
Ti      M2,M5,M5                                                    27.23
Ti      M2,M5,N1                                                    29.71
Ti      M2,N1,N1                                                    32.19
Ti      M3,M4,M4                                                    26.42
Ti      M3,M4,M5                                                    26.49
Ti      M3,M4,N1                                                    28.97
Ti      M3,M5,M5                                                    26.55
Ti      M3,M5,N1                                                    29.03
Ti      M3,N1,N1                                                    31.51
V       M1                                                          76.42
V       M2                                                          50.65
V       M3                                                          49.79
V       L1,L2,M2                                                    12.03
V       L1,L2,M3                                                    12.99
V       L1,L2,M4                                                    54.95
V       L1,L2,M5                                                    55.03
V       L1,L2,N1                                                    56.69
V       L1,L3,M2                                                    20.17
V       L1,L3,M3                                                    21.12
V       L1,L3,M4                                                    63.08
V       L1,L3,M5                                                    63.17
V       L1,L3,N1                                                    64.82
V       L1,M1,M1                                                   468.18
V       L1,M1,M2                                                   495.03
V       L1,M1,M3                                                   495.99
V       L2,M1,M1                                                   376.27
V       L2,M1,M2                                                   403.12
V       L2,M1,M3                                                   404.08
V       L2,M1,M4                                                   446.04
V       L2,M1,M5                                                   446.12
V       L2,M1,N1                                                   447.78
V       L2,M2,M2                                                   429.98
V       L2,M2,M3                                                   430.94
V       L2,M2,M4                                                   472.89
V       L2,M2,M5                                                   472.98
V       L2,M2,N1                                                   474.63
V       L2,M3,M3                                                   431.89
V       L2,M3,M4                                                   473.85
V       L2,M3,M5                                                   473.94
V       L2,M3,N1                                                   475.59
V       L3,M1,M1                                                   368.93
